names,dates,ratings,site
The Other Side of Paradise,2017-12-29,Teen And Up Audiences,ao3
Warm Ramen and Warmer Hearts,2017-12-29,General Audiences,ao3
Oath and Execution,2017-12-29,Teen And Up Audiences,ao3
Nameless Immortal,2017-12-27,General Audiences,ao3
Academy Chronicles: Remember and Cherish,2017-12-24,General Audiences,ao3
"something old, something new",2017-12-23,General Audiences,ao3
Mayn't Change the World,2017-12-21,Teen And Up Audiences,ao3
Morning,2017-12-19,Mature,ao3
Girls Can Love Girls!,2017-12-15,Not Rated,ao3
A Box of Pocky,2017-12-11,Teen And Up Audiences,ao3
Corrupt The Mami,2017-12-11,Explicit,ao3
What You Can't Have,2017-12-10,Not Rated,ao3
Panty Raids Are Always Great,2017-12-08,Teen And Up Audiences,ao3
oh how fitting for one so fake,2017-12-08,Not Rated,ao3
I can think of a hundred...,2017-12-06,General Audiences,ao3
After The Dawn,2017-12-05,Teen And Up Audiences,ao3
To be or not to be a witch,2017-12-02,Teen And Up Audiences,ao3
Let me tell you about hope,2017-12-02,General Audiences,ao3
Laisse-moi te parler d'espoir,2017-12-02,General Audiences,ao3
"Picture, Picture, Smile For The Picture",2017-12-02,Teen And Up Audiences,ao3
The Unexpected HitoKyou,2017-12-01,Teen And Up Audiences,ao3
The Best of All Possible Worlds,2017-11-27,Mature,ao3
bloom fully on the tall wall,2017-11-17,Teen And Up Audiences,ao3
Excavation,2017-11-16,Teen And Up Audiences,ao3
The Waiting Game,2017-11-16,General Audiences,ao3
Redux,2017-11-15,Teen And Up Audiences,ao3
beautiful view,2017-11-15,General Audiences,ao3
Red Tulips,2017-11-14,General Audiences,ao3
Scatterbrain,2017-11-12,Teen And Up Audiences,ao3
"Sometimes, fate can be kind",2017-11-11,General Audiences,ao3
"Lies, Dreams, and Magic",2017-11-10,Teen And Up Audiences,ao3
Kalos,2017-11-10,General Audiences,ao3
Writing System,2017-11-06,General Audiences,ao3
Kalos,2017-11-05,General Audiences,ao3
You'll be the death of me,2017-11-01,Teen And Up Audiences,ao3
Wings,2017-11-01,Not Rated,ao3
Dream Sound,2017-10-31,Teen And Up Audiences,ao3
"farewell, until we meet again",2017-10-27,General Audiences,ao3
A Tale from The Wild East,2017-10-28,Teen And Up Audiences,ao3
That Time Bev Became a Magical Girl,2017-10-27,Teen And Up Audiences,ao3
Born Again,2017-10-24,Teen And Up Audiences,ao3
First Times,2017-10-20,Teen And Up Audiences,ao3
Timelines Vary,2017-10-16,Teen And Up Audiences,ao3
Madoka Got a Booboo,2017-10-15,General Audiences,ao3
It Hurt,2017-10-14,Teen And Up Audiences,ao3
Partners,2017-10-13,Teen And Up Audiences,ao3
Meeting you again,2017-10-08,General Audiences,ao3
you know what they say about grudges (they'll poison you),2017-10-06,General Audiences,ao3
Ash and Snow,2017-10-05,Teen And Up Audiences,ao3
Mother Misplaced,2017-10-03,Teen And Up Audiences,ao3
Echo,2017-10-01,Teen And Up Audiences,ao3
"Salve, Terrae Magicae",2017-09-30,Not Rated,ao3
clasping our hands together,2017-09-30,Teen And Up Audiences,ao3
Looping,2017-09-29,Teen And Up Audiences,ao3
a taste of her own medicine,2017-09-28,General Audiences,ao3
I Forget You,2017-09-26,General Audiences,ao3
Risking injury,2017-09-25,General Audiences,ao3
An Alternative Curse,2017-09-23,Teen And Up Audiences,ao3
Love,2017-09-21,Mature,ao3
Amor,2017-09-20,Mature,ao3
It Rained Down,2017-09-19,General Audiences,ao3
You Hate Me,2017-09-13,General Audiences,ao3
Magic Hiden Within,2017-09-12,Teen And Up Audiences,ao3
See Her There at the Corner,2017-09-07,General Audiences,ao3
tell me a story,2017-09-06,General Audiences,ao3
It Started With the Smallest of Doubts,2017-09-06,Teen And Up Audiences,ao3
Something right,2017-09-06,Not Rated,ao3
Pergo Pugnare: The Magical Girl Wars,2017-09-06,Teen And Up Audiences,ao3
Davetalks,2017-08-31,Teen And Up Audiences,ao3
And I'm Home,2017-08-31,Teen And Up Audiences,ao3
The Things I Deserve,2017-08-27,Teen And Up Audiences,ao3
the future is all mine,2017-08-25,Teen And Up Audiences,ao3
A Heartbroken Devil,2017-08-25,Teen And Up Audiences,ao3
is there anything i could do?,2017-08-23,Mature,ao3
Honey and Water,2017-08-23,Explicit,ao3
A Last Drink with Mephistopheles,2017-08-17,Teen And Up Audiences,ao3
The Iron Sole Alchemist and the Magical Girls,2017-08-17,Explicit,ao3
Homura and Co. Vs the Demon Shaft and the Black Knight and his Steed.,2017-08-17,Not Rated,ao3
Bitter Candy,2017-08-17,Teen And Up Audiences,ao3
Helping Your Senpais,2017-08-12,Mature,ao3
ribbons fray,2017-08-09,Teen And Up Audiences,ao3
kind of the end of the,2017-08-09,General Audiences,ao3
it all burned down,2017-08-07,General Audiences,ao3
My Promise,2017-08-07,Mature,ao3
"Half as long, twice as bright",2017-08-06,General Audiences,ao3
brief encounter,2017-08-06,General Audiences,ao3
Girls Of Science Era,2017-08-06,Mature,ao3
Chaotic Neutral!,2017-08-06,Teen And Up Audiences,ao3
Black and Gold,2017-08-03,General Audiences,ao3
Fearless (250 and Dark Stars),2017-08-01,General Audiences,ao3
Podfic - The Seas Between Worlds,2017-07-30,General Audiences,ao3
Movie Wars Magica,2017-07-27,General Audiences,ao3
Epilogue of the Magicas trek into the Gallery of Time.,2017-07-27,Not Rated,ao3
Homura and co in the Gallery of Time,2017-07-27,Mature,ao3
Danganronpa: The Crossover Game,2017-07-25,Teen And Up Audiences,ao3
Let Your Wish be Granted,2017-07-25,Teen And Up Audiences,ao3
reflection,2017-07-24,General Audiences,ao3
"FALL WITH ME :: in miracles, in massacres",2017-07-24,Mature,ao3
Paranatural Magi Max Magica,2017-07-22,Teen And Up Audiences,ao3
Some Days,2017-07-18,General Audiences,ao3
Contractual Obligation,2017-07-18,Teen And Up Audiences,ao3
The Iron Sole Alchemist and the Soul Reapers,2017-07-17,Explicit,ao3
Puella Magi Evan Magica,2017-07-17,Teen And Up Audiences,ao3
Увядшая лаванда,2017-07-15,Teen And Up Audiences,ao3
Madoka Magica Commentary,2017-07-12,Teen And Up Audiences,ao3
Prelude,2017-07-11,General Audiences,ao3
In Which Music Becomes Distorted,2017-07-07,Teen And Up Audiences,ao3
Puer Magi Makoto Magica,2017-07-06,Mature,ao3
Variety is the Spice of Life,2017-07-04,Explicit,ao3
Memoria Magica,2017-06-30,Not Rated,ao3
Puella Magi Madoka Magica: Rejection,2017-06-29,Teen And Up Audiences,ao3
It's the Wonder of us I Sing of Tonight,2017-06-21,General Audiences,ao3
Short 38 - Hypothetically Speaking,2017-06-18,Teen And Up Audiences,ao3
Puella Magi Animorphs Magica,2017-06-17,General Audiences,ao3
Episode 26 - Magic and Glamour,2017-06-17,Teen And Up Audiences,ao3
Inaction and Placidness,2017-06-16,General Audiences,ao3
I'm Still the Magicest!,2017-06-14,Teen And Up Audiences,ao3
Fighting Entropy,2017-06-14,Explicit,ao3
"The Maiden, The Witch, and The Crone",2017-06-11,General Audiences,ao3
Salvation Through Affection,2017-06-10,Explicit,ao3
I'm the Magicest! [2012],2017-06-10,Teen And Up Audiences,ao3
Сакура,2017-06-01,General Audiences,ao3
unreciprocated,2017-06-01,General Audiences,ao3
Credens Justitiam (Believing in Justice),2017-05-31,General Audiences,ao3
Motherly Love,2017-05-30,Explicit,ao3
Tea and Company,2017-05-29,General Audiences,ao3
All She Knows,2017-05-29,General Audiences,ao3
Three Bakers,2017-05-27,General Audiences,ao3
Harmonized heartbeat,2017-05-27,Teen And Up Audiences,ao3
Coup de coeur,2017-05-24,Teen And Up Audiences,ao3
One Punch Magica,2017-05-22,Teen And Up Audiences,ao3
all alone,2017-05-20,Mature,ao3
7734,2017-05-18,Teen And Up Audiences,ao3
A Magical Girl Worth Protecting,2017-05-17,General Audiences,ao3
Enantiodromia,2017-05-13,Teen And Up Audiences,ao3
Let go. There's nothing else you can do for her.,2017-05-13,Teen And Up Audiences,ao3
Solemnis,2017-05-12,Teen And Up Audiences,ao3
"No matter what, I will save you",2017-05-11,General Audiences,ao3
umbrella at your side,2017-05-08,General Audiences,ao3
"May Day, Mayday, M'aidez",2017-05-03,General Audiences,ao3
Wish Fullfillment,2017-05-03,Teen And Up Audiences,ao3
Nothing Special,2017-05-02,General Audiences,ao3
Satan's Candyland Productions,2017-05-02,Teen And Up Audiences,ao3
Madoka magica: what was forgotten,2017-05-01,Not Rated,ao3
Just a little bit is fine,2017-04-30,General Audiences,ao3
Distorted Reflections,2017-04-28,General Audiences,ao3
Rekindled,2017-04-28,Teen And Up Audiences,ao3
Helix,2017-04-28,General Audiences,ao3
480 Days,2017-04-28,General Audiences,ao3
Dancer,2017-04-27,General Audiences,ao3
Remember Us,2017-04-27,Teen And Up Audiences,ao3
Rise Of Homucifer,2017-04-27,Teen And Up Audiences,ao3
Outright Malice,2017-04-27,Teen And Up Audiences,ao3
Evil Is In The Eye Of The Beholder,2017-04-27,Teen And Up Audiences,ao3
Scorched Sands,2017-04-27,Teen And Up Audiences,ao3
Evil,2017-04-27,Teen And Up Audiences,ao3
Madoka magica: Homura's desperation,2017-04-26,Not Rated,ao3
How Flowers in Futility Bloom,2017-04-24,Teen And Up Audiences,ao3
MagicaTale,2017-04-24,Teen And Up Audiences,ao3
the dreams in which i'm dying,2017-04-24,General Audiences,ao3
Magical Girl Crusade,2017-04-23,Teen And Up Audiences,ao3
Waltz Of Eternity,2017-04-22,Mature,ao3
A War That's Waged Through Time,2017-04-22,Teen And Up Audiences,ao3
and if i could stay by your side,2017-04-18,Teen And Up Audiences,ao3
Cadence,2017-04-18,General Audiences,ao3
Heavy Metal Magical Girl,2017-04-16,General Audiences,ao3
Savior Of The City,2017-04-16,General Audiences,ao3
Mitakihara's Pride,2017-04-16,General Audiences,ao3
The Cost of a Wish (Madoka Magica AU),2017-04-15,Teen And Up Audiences,ao3
Ask the Clara Dolls!,2017-04-12,General Audiences,ao3
Tale of the Five Saiyans,2017-04-08,Teen And Up Audiences,ao3
Revival,2017-04-08,Teen And Up Audiences,ao3
The Witch's Tears,2017-04-07,General Audiences,ao3
Episode 14 - Keeping Promises,2017-04-06,Teen And Up Audiences,ao3
Flame of Despair - OLD,2017-04-03,Teen And Up Audiences,ao3
"Madoka, You're the Father",2017-04-02,Explicit,ao3
After the End,2017-04-01,General Audiences,ao3
Gretal Origins,2017-03-31,Teen And Up Audiences,ao3
(repeat repeat repeat),2017-03-30,Teen And Up Audiences,ao3
Яeverse Blue,2017-03-30,Teen And Up Audiences,ao3
Worth Fighting For,2017-03-30,Mature,ao3
Madoka Rise,2017-03-28,Teen And Up Audiences,ao3
"Rise, Kriemhild Gretchen",2017-03-28,Teen And Up Audiences,ao3
The One Shot Life,2017-03-28,Teen And Up Audiences,ao3
Drops of Jupiter,2017-03-26,General Audiences,ao3
Written in the Stars,2017-03-26,General Audiences,ao3
Spring Carnival,2017-03-25,General Audiences,ao3
Short 14 - A Worthy Effort,2017-03-25,General Audiences,ao3
Ruined,2017-03-25,Teen And Up Audiences,ao3
Rusting Hearts,2017-03-24,Not Rated,ao3
The Face Of Mercy,2017-03-21,Teen And Up Audiences,ao3
The Outcome Is Always The Same,2017-03-21,Teen And Up Audiences,ao3
Slipping,2017-03-21,Teen And Up Audiences,ao3
Futile,2017-03-21,Mature,ao3
Lost Child,2017-03-21,Teen And Up Audiences,ao3
"Loving Father, Loving Mother",2017-03-21,Teen And Up Audiences,ao3
The Finest-Looking Apple,2017-03-20,Explicit,ao3
Citizens Of America,2017-03-19,Mature,ao3
Puella Magi Madoka Magica: Pilgrimage,2017-03-16,Teen And Up Audiences,ao3
Memory Game,2017-03-15,General Audiences,ao3
Wicked Carnality,2017-03-15,Explicit,ao3
Episode 7 - Always Tomorrow,2017-03-15,General Audiences,ao3
Sexting,2017-03-14,Explicit,ao3
Homura shoots a cat,2017-03-14,Teen And Up Audiences,ao3
Short 8 - The Art of Persuasion,2017-03-13,General Audiences,ao3
Welcome To The Show,2017-03-12,Mature,ao3
Puella Magi,2017-03-12,Teen And Up Audiences,ao3
Episode 6 - Fixed Points,2017-03-12,General Audiences,ao3
Reckless,2017-03-11,General Audiences,ao3
Kyoko's Prayer,2017-03-11,Teen And Up Audiences,ao3
All I Do,2017-03-11,Teen And Up Audiences,ao3
Caught In The Storm,2017-03-11,Teen And Up Audiences,ao3
Burn The Witch,2017-03-11,Teen And Up Audiences,ao3
Crimson Confession,2017-03-11,Teen And Up Audiences,ao3
Maybe We Are Gods Now,2017-03-11,Teen And Up Audiences,ao3
Goodbye You Heroes,2017-03-11,Teen And Up Audiences,ao3
The Box Witch,2017-03-11,Mature,ao3
Mami Is Dead,2017-03-11,Mature,ao3
Locust Summer,2017-03-11,Teen And Up Audiences,ao3
Witches In The Night,2017-03-11,Teen And Up Audiences,ao3
Night Comes Down,2017-03-11,Teen And Up Audiences,ao3
Jupiter,2017-03-10,General Audiences,ao3
Dream A Dream,2017-03-06,Teen And Up Audiences,ao3
Magical Girl Outfit Malfunction,2017-03-05,Teen And Up Audiences,ao3
Invocation Of Apocalyptic Evil,2017-03-05,Teen And Up Audiences,ao3
Concerto for Three,2017-03-05,Explicit,ao3
Shepherd of the Black Sheep,2017-03-01,General Audiences,ao3
in the name of love,2017-02-26,Mature,ao3
Horrors Of The Cake Planet,2017-02-26,Mature,ao3
Hearth,2017-02-25,Not Rated,ao3
Teach Me How to Pray,2017-02-22,Teen And Up Audiences,ao3
Worn Down,2017-02-22,General Audiences,ao3
Distractions,2017-02-22,Teen And Up Audiences,ao3
The Rarer Difficulties of Motherhood,2017-02-22,General Audiences,ao3
"Two Oranges, Shared",2017-02-21,Not Rated,ao3
Tomatoes,2017-02-18,Teen And Up Audiences,ao3
Madoka's Pet,2017-02-18,Explicit,ao3
The Unification Wars,2017-02-17,General Audiences,ao3
Somewhere Far Beyond,2017-02-17,Mature,ao3
Speak of the Devil,2017-02-14,Teen And Up Audiences,ao3
projectiles,2017-02-11,Teen And Up Audiences,ao3
Scales and Velvet,2017-02-10,General Audiences,ao3
madohomu morning cuddle smut,2017-02-10,Explicit,ao3
I Always Said,2017-02-08,General Audiences,ao3
Concept Road,2017-02-08,Teen And Up Audiences,ao3
Goddess Madoka,2017-02-08,General Audiences,ao3
Colors of Despair,2017-02-07,General Audiences,ao3
Skopeou,2017-02-05,General Audiences,ao3
Grief Seed,2017-02-05,General Audiences,ao3
Memories of Homura,2017-02-04,General Audiences,ao3
Memories of Madoka,2017-02-04,General Audiences,ao3
Looking up to those beneath you,2017-02-01,Teen And Up Audiences,ao3
"tag, you're it",2017-02-01,General Audiences,ao3
Skopeou,2017-01-31,General Audiences,ao3
Madoka Hitman Reborn,2017-01-29,General Audiences,ao3
The Taste of Memory,2017-01-27,General Audiences,ao3
The Endless Night,2017-01-25,Teen And Up Audiences,ao3
Nagisa learns to swear,2017-01-22,Teen And Up Audiences,ao3
in which everything goes wrong in the past and the present has to deal with it,2017-01-22,Teen And Up Audiences,ao3
Inferno,2017-01-20,Teen And Up Audiences,ao3
The Different Stories,2017-01-18,Not Rated,ao3
Confessio,2017-01-17,Teen And Up Audiences,ao3
Puella Poké Mirage Magica: Homecoming,2017-01-16,Teen And Up Audiences,ao3
Learning the Hard Way,2017-01-16,Explicit,ao3
No Matter How Many,2017-01-15,Teen And Up Audiences,ao3
Eternal Beginnings,2017-01-12,General Audiences,ao3
Vorago,2017-01-10,Teen And Up Audiences,ao3
Amalgamation,2017-01-09,Teen And Up Audiences,ao3
Bet,2017-01-08,General Audiences,ao3
Never Cast Aside,2017-01-08,Teen And Up Audiences,ao3
No Matter What,2017-01-08,Teen And Up Audiences,ao3
The Stars In The Sky,2017-01-06,Teen And Up Audiences,ao3
Vorago,2017-01-06,Teen And Up Audiences,ao3
Wander,2017-01-04,General Audiences,ao3
Flash Fire,2017-01-02,Teen And Up Audiences,ao3
The Rot of Paper,2017-01-01,General Audiences,ao3
Forgive Me,2016-12-28,General Audiences,ao3
"Magia, Pacem, Bellum Terrarum",2016-12-27,Mature,ao3
there are ways to kill somebody (other than physically),2016-12-25,Not Rated,ao3
shaking off the surging darkness,2016-12-23,Teen And Up Audiences,ao3
And We Pray,2016-12-22,Teen And Up Audiences,ao3
Cosmic Love,2016-12-22,Teen And Up Audiences,ao3
The Promenade of Salem,2016-12-22,Explicit,ao3
Schatten,2016-12-21,Mature,ao3
Walking On the Stars,2016-12-19,Teen And Up Audiences,ao3
Starry Heavens,2016-12-19,General Audiences,ao3
Four Ohtori Students Kyubey Never Made a Contract With and One He Nearly Did,2016-12-17,Teen And Up Audiences,ao3
Your Silver Garden,2016-12-13,Not Rated,ao3
Mikado Magica,2016-12-06,Teen And Up Audiences,ao3
Exigency,2016-12-06,General Audiences,ao3
Breathe,2016-12-05,General Audiences,ao3
Green Apple,2016-12-01,General Audiences,ao3
Valley Of The Damned,2016-11-30,Teen And Up Audiences,ao3
The Price Of A Mile,2016-11-30,Teen And Up Audiences,ao3
The Mysterious Adventures of TACHIBANA TANAKA!,2016-11-23,Teen And Up Audiences,ao3
My Characters's wiki,2016-11-23,General Audiences,ao3
Life isn't a Glazed Wonder,2016-11-21,General Audiences,ao3
Black is the Color of my True Love's Hair,2016-11-20,General Audiences,ao3
Memory,2016-11-19,Not Rated,ao3
Untended Embers,2016-11-17,Teen And Up Audiences,ao3
Care,2016-11-16,Not Rated,ao3
Neighbor,2016-11-15,Not Rated,ao3
Obama No Toppu,2016-11-15,General Audiences,ao3
I'd Lose My Head For You,2016-11-13,Teen And Up Audiences,ao3
Clothing,2016-11-12,Not Rated,ao3
Sew,2016-11-12,Not Rated,ao3
Braid,2016-11-12,Not Rated,ao3
No Promises,2016-11-11,Not Rated,ao3
Eidos,2016-11-11,General Audiences,ao3
If I Fall Along The Way,2016-11-10,Explicit,ao3
Don't Leave Me,2016-11-10,Teen And Up Audiences,ao3
Eidos,2016-11-10,General Audiences,ao3
Adagio,2016-11-09,General Audiences,ao3
The Work of Magic,2016-11-03,Teen And Up Audiences,ao3
"Hope, or Something Like It",2016-11-03,Teen And Up Audiences,ao3
Hope and Despair,2016-10-31,Teen And Up Audiences,ao3
"То, чего никогда не было",2016-10-30,General Audiences,ao3
Earth Stands Peaceful,2016-10-29,Teen And Up Audiences,ao3
In Our Hands,2016-10-28,General Audiences,ao3
Boogie Gals Madoka Magica,2016-10-26,Mature,ao3
Guardian,2016-10-26,Teen And Up Audiences,ao3
Tell Me A Story,2016-10-25,Not Rated,ao3
Repeat Mosaic,2016-10-24,Teen And Up Audiences,ao3
Guardião,2016-10-23,Teen And Up Audiences,ao3
A Wish Gone Wild,2016-10-19,Teen And Up Audiences,ao3
Divine Intervention,2016-10-13,General Audiences,ao3
the you in your own skin is so ugly.,2016-10-13,Mature,ao3
Beauty and the Incubator,2016-10-09,General Audiences,ao3
Gossamer Petals In A Reverie,2016-10-07,Teen And Up Audiences,ao3
After Time,2016-10-05,Teen And Up Audiences,ao3
Reflections of Stars,2016-10-04,General Audiences,ao3
Kindred Pyre,2016-10-02,General Audiences,ao3
Puella Magi Stephanie Magica,2016-10-01,Teen And Up Audiences,ao3
Never Alone,2016-10-01,Teen And Up Audiences,ao3
The Infinite Time Loops: Skullgirls,2016-09-27,Mature,ao3
Stress Fractures,2016-09-24,General Audiences,ao3
Ulepimy dziś...,2016-09-21,General Audiences,ao3
A Light Within Solitude,2016-09-21,General Audiences,ao3
Puer Inquietus Reader Magica,2016-09-20,General Audiences,ao3
Taenia Memoria,2016-09-18,Teen And Up Audiences,ao3
Magical Ronpa!,2016-09-17,Mature,ao3
The Goddess and the Light,2016-09-17,General Audiences,ao3
Watashitachino,2016-09-16,Teen And Up Audiences,ao3
Dirge,2016-09-14,General Audiences,ao3
I Remember You,2016-09-11,General Audiences,ao3
Bed time with MadokaxHamura,2016-09-06,General Audiences,ao3
Всеми силами души,2016-09-03,Teen And Up Audiences,ao3
Illuminated MEP Part 8,2016-09-02,General Audiences,ao3
Determination,2016-08-31,Teen And Up Audiences,ao3
If That Is What You Wish,2016-08-27,Teen And Up Audiences,ao3
Один день,2016-08-22,General Audiences,ao3
Guardian Creature,2016-08-20,General Audiences,ao3
Weaponizing Weakness,2016-08-19,General Audiences,ao3
"Half and Half Means Neither (ergo I'm Either Garbage - or Unrecognised Gold, and Decision's Mine Alone)",2016-08-18,Teen And Up Audiences,ao3
Pit and Mortar,2016-08-17,Mature,ao3
Puella Magi Mitsunari Magica,2016-08-13,Teen And Up Audiences,ao3
She Remembers,2016-08-11,Teen And Up Audiences,ao3
Aftermath,2016-08-11,Not Rated,ao3
Nocturnes 漫漫长夜,2016-08-11,Teen And Up Audiences,ao3
Leave It on the Ice,2016-08-10,Explicit,ao3
Equivalent Exchange,2016-08-06,Teen And Up Audiences,ao3
Dying Coals,2016-08-04,Teen And Up Audiences,ao3
Dying Coals,2016-08-04,Teen And Up Audiences,ao3
Lifetimes,2016-07-28,General Audiences,ao3
Anatomy of a Demon,2016-07-28,General Audiences,ao3
Across,2016-07-28,General Audiences,ao3
All for You,2016-07-28,General Audiences,ao3
Be Careful What You Wish For,2016-07-27,Teen And Up Audiences,ao3
О контрактах и визах,2016-07-23,General Audiences,ao3
Crystallum Cadens,2016-07-20,Teen And Up Audiences,ao3
Made of Starlight and Ashes,2016-07-20,Teen And Up Audiences,ao3
Second Child,2016-07-18,General Audiences,ao3
The Iron Sole Alchemist and Magical Girl Sloth,2016-07-16,Explicit,ao3
One Girl's Wish,2016-07-15,General Audiences,ao3
prom notice,2016-07-13,Explicit,ao3
Pillar of Light & Hope,2016-07-12,Teen And Up Audiences,ao3
Blazing Star,2016-07-11,General Audiences,ao3
Waiting at the Edge of the World,2016-07-11,Teen And Up Audiences,ao3
Magical Girl Saruya's Adventures!,2016-07-08,Not Rated,ao3
Morning,2016-07-06,General Audiences,ao3
Another Year (Sorry),2016-07-03,General Audiences,ao3
Fraying Soul,2016-06-29,General Audiences,ao3
You Started It,2016-06-29,General Audiences,ao3
Shin Madoka Tensei: Persona Magica,2016-06-28,Teen And Up Audiences,ao3
Broken Cycles,2016-06-25,Teen And Up Audiences,ao3
"The Fermi Question, Answered?",2016-06-24,General Audiences,ao3
Magi-cal Treatment,2016-06-24,Explicit,ao3
Charcoal,2016-06-23,Mature,ao3
a human and a mermaid,2016-06-22,Teen And Up Audiences,ao3
Perks and Detriments,2016-06-21,Explicit,ao3
blood and chocolate,2016-06-08,General Audiences,ao3
Dying Dream,2016-06-05,Teen And Up Audiences,ao3
Tinder,2016-06-03,General Audiences,ao3
Protéger à coups de poings,2016-06-03,Teen And Up Audiences,ao3
My Imaginary Best Friend,2016-05-29,General Audiences,ao3
Blooming Flowers,2016-05-29,Explicit,ao3
Pocky Kiss,2016-05-28,General Audiences,ao3
Public Heroes,2016-05-25,Not Rated,ao3
Balance and Symmetry,2016-05-25,General Audiences,ao3
Dulling the Pain,2016-05-19,Teen And Up Audiences,ao3
Hope for the Future,2016-05-17,Teen And Up Audiences,ao3
Misfire,2016-05-17,Mature,ao3
Bellator in Somnio,2016-05-16,Teen And Up Audiences,ao3
Pero White and the Seven Magical Girls,2016-05-15,General Audiences,ao3
再见,2016-05-14,General Audiences,ao3
Sparks,2016-05-08,Mature,ao3
Devilman: Armageddon,2016-05-08,Mature,ao3
M is for Magica,2016-05-08,General Audiences,ao3
The Artist,2016-05-06,General Audiences,ao3
Revolution (ITA),2016-05-04,Teen And Up Audiences,ao3
Unlikely Ally,2016-05-03,General Audiences,ao3
Fall,2016-05-03,Teen And Up Audiences,ao3
Magical Girl,2016-05-02,Teen And Up Audiences,ao3
Queda,2016-05-01,Teen And Up Audiences,ao3
Absolution,2016-05-01,Teen And Up Audiences,ao3
Madoka Tragica,2016-04-29,Teen And Up Audiences,ao3
Heartache,2016-04-26,General Audiences,ao3
"Chelsea, Chelsea, I Believe",2016-04-24,Mature,ao3
Wings of Canon,2016-04-24,Mature,ao3
The Last Link,2016-04-19,Teen And Up Audiences,ao3
Sayaka Gets Decked In The Face (working title),2016-04-18,Teen And Up Audiences,ao3
Revolution,2016-04-18,Teen And Up Audiences,ao3
Visionary,2016-04-13,Not Rated,ao3
A Madohomu Story,2016-04-12,Teen And Up Audiences,ao3
Visionária,2016-04-12,Not Rated,ao3
Devil's Compensation,2016-04-11,Explicit,ao3
Aunque el mundo se derrumbe,2016-04-07,Teen And Up Audiences,ao3
I Swear to Burn Brightly,2016-04-06,Explicit,ao3
Sunshine in a Jar,2016-04-03,General Audiences,ao3
Orange,2016-03-31,Mature,ao3
Wife Swap fandom version,2016-03-28,Not Rated,ao3
Kuttsukiboshi x Madoka Magica: Prelude to Caribbean Rim,2016-03-27,Teen And Up Audiences,ao3
Once Upon A Dream,2016-03-25,General Audiences,ao3
Make A Wish,2016-03-22,Teen And Up Audiences,ao3
"don't be afraid, it's only love",2016-03-16,General Audiences,ao3
Consumed,2016-03-13,General Audiences,ao3
"no salt, only macaroons now",2016-03-07,General Audiences,ao3
When Magic Goes Wrong,2016-03-06,General Audiences,ao3
[Podfic of] Captive by Love,2016-03-02,Explicit,ao3
Homura: A Character Study,2016-03-01,General Audiences,ao3
Incandescent Amorosity,2016-02-29,Explicit,ao3
Sakura and The Mysterious Transfer Student!,2016-02-28,General Audiences,ao3
A Different Path,2016-02-24,Teen And Up Audiences,ao3
Flashes,2016-02-22,General Audiences,ao3
Magia,2016-02-18,General Audiences,ao3
The Transfer Student,2016-02-16,General Audiences,ao3
Relight the Flame,2016-02-16,Teen And Up Audiences,ao3
You're Not An Idiot,2016-02-16,General Audiences,ao3
meet her where the world ends,2016-02-16,Teen And Up Audiences,ao3
Fandom Chain,2016-02-15,General Audiences,ao3
i've tried to escape but just keep sinking,2016-02-15,General Audiences,ao3
Watching Stars,2016-02-13,General Audiences,ao3
Madoka and Homura's Valentine's Day Date,2016-02-12,General Audiences,ao3
A History in Murder,2016-02-05,Teen And Up Audiences,ao3
Bucket List,2016-02-04,General Audiences,ao3
"Noble Heart, Plastic Sword",2016-02-04,General Audiences,ao3
Wash Cycle,2016-02-03,Teen And Up Audiences,ao3
Many Days of Crimson,2016-02-02,Teen And Up Audiences,ao3
Neverending,2016-02-01,General Audiences,ao3
Above All Else,2016-01-27,Teen And Up Audiences,ao3
Magnetic,2016-01-25,Not Rated,ao3
Heaven Hanging Over Me,2016-01-24,Teen And Up Audiences,ao3
First Times,2016-01-23,Explicit,ao3
Star-Crossed,2016-01-22,Not Rated,ao3
Companionship,2016-01-20,Mature,ao3
chiseling,2016-01-19,Teen And Up Audiences,ao3
Spiritual Indulgence,2016-01-18,Explicit,ao3
There's a Certain Kind of Magic in Madness,2016-01-14,Teen And Up Audiences,ao3
Dream of Red,2016-01-12,Teen And Up Audiences,ao3
Rebellion,2016-01-11,Teen And Up Audiences,ao3
ease,2016-01-12,General Audiences,ao3
Princess And Knight,2016-01-11,General Audiences,ao3
I meant to save you (but you saved me instead),2016-01-11,General Audiences,ao3
Minako Magica,2016-01-04,Teen And Up Audiences,ao3
Pokemon Champ Madoka,2016-01-04,General Audiences,ao3
Magica! Mitakihara Swim Club,2016-01-03,General Audiences,ao3
On the Origin of Madness,2016-01-01,Teen And Up Audiences,ao3
Just A Little Longer,2015-12-31,Teen And Up Audiences,ao3
Puella Magi Hatoful Magica [DISCONTINUED],2015-12-31,Teen And Up Audiences,ao3
Puella Magi Natasha Magica,2015-12-31,Teen And Up Audiences,ao3
Puella Magi Natasha Magica,2015-12-31,Teen And Up Audiences,ao3
Roses Are Red,2015-12-31,General Audiences,ao3
Kyubey's Wish,2015-12-23,General Audiences,ao3
Emergency,2015-12-21,Teen And Up Audiences,ao3
Here With You,2015-12-10,General Audiences,ao3
And Where Were You,2015-12-09,General Audiences,ao3
Demonic Retribution,2015-12-08,Teen And Up Audiences,ao3
