,names,dates,ratings,languages
1713,The Funeral,2014-05-05,T,English
1714,"Her Purpose, Her Fight",2014-05-04,K+,English
1715,The Ascent,2014-05-04,K,English
1716,What is love?,2014-05-03,T,English
1717,For the Love of Scarlet,2014-05-02,T,English
1718,Why the Birdcage Sings,2014-05-02,K,English
1719,What I Saw,2014-05-02,T,English
1720,Fractal,2014-03-14,T,English
1721,just you and I,2014-05-01,T,English
1722,Laws of the wild,2014-05-01,M,English
1723,Dark Magician: The Chronicles of Kyon Sakura,2014-04-30,T,English
1724,「Gold Experience」,2014-04-30,K+,English
1725,Troubled Girl,2014-04-29,T,English
1726,Transformation,2014-04-29,K+,English
1727,Homura and the Hippo,2014-04-28,T,English
1728,I Want to See You,2014-04-07,T,English
1729,Safe,2013-04-03,T,English
1730,Jigsaw Puzzles,2014-04-21,K,English
1731,You Bastard!,2014-04-21,T,English
1732,More Than Friends,2014-04-16,T,English
1733,First,2014-04-19,K,English
1734,The Best Intentions,2014-03-11,T,English
1735,Another Timeline (Puella Magi Madoka Magica),2014-03-15,M,English
1736,The Tuna Wars,2014-04-16,K+,English
1737,MadoHomu: The Perfect Love Story,2014-04-16,T,English
1738,Save those Time,2014-03-27,T,English
1739,Advice of The Greatest Magical Girl,2013-11-05,T,English
1740,The Dessert Wish,2014-04-15,K,English
1741,Jealousy,2014-04-12,T,English
1742,Tears and Hatred,2014-04-11,K,English
1743,Madoka Crisis Magica,2013-05-22,T,English
1744,Madoka Magica: Book of Witches,2013-09-13,K,English
1745,Mami and the bad witch,2014-04-09,M,English
1746,Echoes of a Dead Girl,2014-04-07,K+,English
1747,fool me once,2014-04-02,T,English
1748,Not My Type,2014-04-06,T,English
1749,The Daunting Fire,2013-12-04,T,English
1750,Two Little Ribbons,2014-04-05,K,English
1751,Mahou Shoujo Homura Magica,2013-11-08,T,English
1752,Nightmares,2014-04-04,T,English
1753,Rosso Fantasma,2014-04-02,T,Spanish
1754,Please Don't Go,2014-03-31,T,English
1755,what we could be,2014-03-30,K,English
1756,HomuBey: An Improbable Love Story,2014-03-30,T,English
1757,Between Moments,2014-03-30,K+,English
1758,Maybe Later,2014-03-30,K,English
1759,You are (not) Alone,2014-03-29,T,French
1760,Knight and Mermaid,2014-01-02,T,English
1761,Paradise Is Deceiving,2014-03-28,T,English
1762,10 steps,2014-03-28,T,English
1763,Shield and Arrow,2014-03-27,T,English
1764,Flamma Memoris,2014-03-25,T,English
1765,A Settled Score,2014-03-26,T,English
1766,Desperation,2014-03-26,K+,English
1767,The Dead Walk Among Us,2014-03-25,T,English
1768,gone,2014-03-24,K+,English
1769,This Happiness Together is Worth it,2014-03-23,K+,English
1770,Nightmare War,2014-03-23,T,English
1771,Last Time,2014-03-22,K+,English
1772,Life Support,2014-03-21,T,English
1773,Just A Lick,2014-03-21,M,English
1774,You're Mine,2014-03-20,T,English
1775,The Final Battle,2014-03-19,T,English
1776,stars,2014-03-18,K,English
1777,Just the start,2014-03-17,T,English
1778,One More Arrow,2012-09-04,T,English
1779,White Roses,2014-03-15,T,English
1780,Insanity,2014-03-10,T,English
1781,Emptiness,2014-03-09,T,English
1782,her lips were sweet,2014-03-09,T,English
1783,Cacofonía,2014-03-09,K+,Spanish
1784,And We're Worlds Apart,2014-03-03,T,English
1785,Madoka Magica story-Ocs,2014-02-14,T,English
1786,Sans-titre,2014-03-02,T,French
1787,Akuma Homura saves the World,2014-02-14,T,English
1788,Anew,2014-02-28,T,English
1789,Dos cajas de pockys,2014-02-26,K+,Spanish
1790,So Happy,2014-02-26,K+,English
1791,Mistake,2014-02-25,M,English
1792,If Tomorrow Came,2014-02-24,K+,English
1793,Homura's Revenge,2014-02-24,T,English
1794,Hasta el fin,2014-02-23,K+,Spanish
1795,"Happy Birthday, Homura",2014-02-23,M,English
1796,Tea,2014-02-20,T,English
1797,La luz que asciende,2014-02-19,K+,Spanish
1798,Cotton Candy,2014-02-19,K+,English
1799,Fool,2014-02-17,T,English
1800,Rotton Ball,2014-02-16,T,English
1801,Curiosity,2014-02-16,K+,English
1802,Staggered,2013-06-25,T,English
1803,Heart in a Box,2014-02-16,K+,English
1804,I Don't Hate You,2014-02-15,K,English
1805,"Dark days, Cold days, Future days",2014-02-15,T,English
1806,The colorless wall,2014-02-14,K+,English
1807,Red and Black Valentine,2014-02-13,T,English
1808,Smooth and Bittersweet,2014-02-13,T,English
1809,"Golden Sunrises, Clear Blue Waves",2014-02-12,M,English
1810,Love Everlasting - A MadoHomu Valentine's Day fanfic,2014-02-12,T,English
1811,Puella Magi Alica,2013-12-01,T,English
1812,And The Clock Ticks Ever Onwards,2014-02-10,T,English
1813,A Mitakihara Midsummer's Melody,2013-12-01,T,English
1814,"Puella Magi: Hitomi Magica, Different Story",2013-10-29,T,English
1815,Confessions,2014-02-08,T,English
1816,The Last Witch,2014-01-03,T,English
1817,Not Quite There,2014-02-07,T,English
1818,PMMJ: A blunt admission,2014-01-24,T,English
1819,Belle,2014-02-06,K+,English
1820,Starts,2014-02-06,K+,English
1821,Alike,2014-02-04,T,English
1822,Close,2014-02-03,K+,English
1823,Subtle Differences,2014-01-05,T,English
1824,Trial and Error,2014-02-02,K+,English
1825,the pigeon and the girl,2014-02-01,T,English
1826,Mahou Shoujo Randomness,2014-01-28,K+,English
1827,Otaku Magica,2014-02-01,K+,English
1828,Mahou Shoujo Alex to Jenna,2014-01-31,K+,English
1829,School De Life (Remasterizado al Español),2014-01-31,M,Spanish
1830,Puella Magi Yuuka Magica,2014-01-30,T,English
1831,Armed Girls Madoka Magica,2014-01-29,T,English
1832,Protect and Support,2014-01-28,K+,English
1833,Blueberries Are My Favorite Fruit!,2014-01-28,K+,English
1834,Wishlist,2014-01-28,K+,English
1835,One More Drink,2014-01-27,T,English
1836,The Many Lives Of Mami Tomoe,2011-09-02,T,English
1837,Puer Magi Muri Magico,2013-12-06,T,Italian
1838,Lack of Range?,2014-01-22,T,English
1839,The Broken Girl and the Shattered Girl,2014-01-22,K+,English
1840,Puella Magi Pot Circle,2014-01-21,T,English
1841,Be,2014-01-21,T,English
1842,Going Under,2014-01-21,T,English
1843,Doubts,2014-01-21,K,English
1844,Despair,2014-01-21,K+,English
1845,Humane Emotions,2014-01-21,K+,English
1846,A New Kind of Warrior,2013-12-04,M,English
1847,An Experiment In Power,2013-02-28,T,English
1848,後輩 (Kōhai),2014-01-19,K+,Spanish
1849,Raven,2013-12-27,T,English
1850,My Wish,2014-01-17,K+,English
1851,Scent,2014-01-17,T,English
1852,Happiest Tragedy,2014-01-16,T,English
1853,summer was never in our blood,2014-01-16,T,English
1854,His dream,2014-01-16,T,English
1855,Furious Tension,2014-01-15,M,English
1856,Septuagenarian,2014-01-14,T,English
1857,Sayaka von Seckendorff: Second Life,2014-01-10,T,English
1858,Foreshadowing,2014-01-12,T,English
1859,The Green Magi,2014-01-11,T,English
1860,Not Without Consequences,2014-01-09,T,English
1861,Shadows of Mitakihara,2013-01-05,T,English
1862,Kyubey's Job Performance Evaluation,2014-01-10,T,English
1863,Mami and Kyoko's First Kiss,2014-01-10,K+,English
1864,True Hero,2014-01-10,M,English
1865,MadoHomu pt 3,2014-01-09,M,English
1866,MadoHomu pt 2,2014-01-09,M,English
1867,MadoHomu,2014-01-09,M,English
1868,No Regrets,2014-01-06,M,English
1869,"Dead, Thats What You Are",2012-11-29,T,English
1870,everything floats,2014-01-07,K,English
1871,Sad,2014-01-06,T,English
1872,A World Without Its Goddess,2014-01-06,T,English
1873,Reverse Roles,2014-01-06,K+,English
1874,I will protect you,2014-01-05,K+,English
1875,Cooking Mami,2014-01-05,K+,English
1876,Puella Magi Madoka Magica:Before,2014-01-01,T,English
1877,"Frohe Weihnachten, meine Liebe",2013-12-30,K+,English
1878,Puella Magi Marceline Magica chapter 1: I don't need anyone but you,2013-12-29,T,English
1879,Why did this have to happen? Said Kyoko,2013-12-29,T,English
1880,fearless,2013-12-27,K+,English
1881,Argentum Tuum Hortum,2013-12-27,T,English
1882,The Auspice,2013-12-27,T,English
1883,All for the want of a Madoka,2013-12-25,K+,English
1884,The Apocrypha of Fiona Graham (A Rebellion-based Story),2013-12-24,K+,English
1885,Kyubey's Obsession,2013-12-24,K+,English
1886,Food fight,2013-12-24,T,English
1887,Thoughts at an End,2013-12-24,T,English
1888,Death Attributed to Stationary Motor Vehicle,2013-12-23,T,English
1889,Kyu Kyu Song,2013-12-23,K+,English
1890,Disintegrating Hearts,2013-12-23,K+,English
1891,Hello My Baby! Hello My Honey!,2013-12-23,K+,English
1892,Normal day,2013-12-22,K+,English
1893,Unius Snowflake,2013-12-20,K+,English
1894,Love Colored Canvas,2013-11-23,K+,Spanish
1895,Witches,2013-12-20,K+,English
1896,X-Date,2013-12-19,M,English
1897,Sins and Virtue of Sacrifices,2013-11-01,T,English
1898,The Nightmare Ends,2013-12-18,K+,English
1899,Midterms,2013-12-18,K+,English
1900,La magia y los milagros existen,2013-12-16,K+,Spanish
1901,Universal,2012-08-23,T,English
1902,psychosaga: Behind Closed Doors,2013-08-09,M,English
1903,Who Says Black and Blue Can't Heal the World?,2013-12-12,T,English
1904,"through laughter and tears, lets stick together",2013-12-10,T,English
1905,Time and Time Again They Burn,2013-12-09,K+,English
1906,The Sugar Thief,2013-12-07,K+,English
1907,Soul Gem Refraction: A Study,2013-12-06,K+,English
1908,In a World Devoid of Hope,2013-12-05,T,English
1909,Una Completa Idiota,2013-12-05,T,Spanish
1910,Christmas Present,2013-12-04,K+,English
1911,Again,2013-12-04,T,English
1912,A Wish to Disappear,2013-01-07,T,English
1913,One Step Till Paradise,2013-12-02,T,English
1914,The only way,2013-12-01,T,English
1915,Sayaka and Oktavia,2013-04-28,T,English
1916,Kyoko's Confession,2013-11-30,T,English
1917,Dreaming of you REBELLION,2013-11-30,T,English
1918,Gifts of the Goddess,2013-11-30,K+,English
1919,Why Can't We Be Friends?,2013-11-28,T,English
1920,Puella Death reviews,2013-11-29,T,English
1921,MUSE OF THE FORGOTTEN,2013-11-28,K+,English
1922,Basked in Moonlight,2012-09-24,T,English
1923,Puela Magi Emiya,2013-10-06,M,English
1924,Precious Friends,2013-06-17,T,English
1925,Clutch,2013-11-20,M,English
1926,Confessions,2013-11-25,T,English
1927,Homura vs Mami,2013-11-24,T,English
1928,Your Country Needs You!,2013-11-23,M,English
1929,What is Love?,2013-11-18,M,English
1930,The Irregular Universe - remade version,2013-11-21,T,English
1931,The Irregular Universe,2012-08-23,T,English
1932,Requiem Magica,2012-08-23,T,English
1933,She wore a mask,2013-10-15,T,English
1934,Closure,2013-11-20,T,English
1935,A Night at Madoka's House,2013-11-19,T,English
1936,Yay,2013-11-18,T,English
1937,Light 'Em Up,2013-11-18,M,English
1938,Puella Magi Rima Magica,2013-11-18,T,English
1939,For Love of Angel(food),2013-11-17,T,English
1940,Puella Magi: Witch's Gathering,2013-10-02,T,English
1941,Voyeur,2013-11-13,T,English
1942,A Victory or Failure?,2013-11-12,T,English
1943,Mahou Shounen Madoka Magica,2013-11-12,M,English
1944,Timeless Love,2013-11-12,K,English
1945,Fall,2013-11-11,T,English
1946,Madoka Magica - My Feelings for you - KyoSaya One-Shot,2013-11-07,T,English
1947,Somebody to Cry Against,2013-11-07,T,English
1948,SCP-102-A - Kyubey,2013-11-05,K,English
1949,The Untold Story of Mami,2013-11-05,T,English
1950,Caution: Floor Wet,2013-11-04,T,English
1951,Homumado- Holding Hands,2013-11-02,K,English
1952,Happiness,2013-11-01,K+,English
1953,Magica Random,2012-10-24,T,English
1954,Sacrifice of a Daughter,2013-10-31,K+,English
1955,Chocolate Cake,2013-10-31,K+,English
1956,Hunted,2013-10-31,T,English
1957,Free Sky,2012-09-23,T,English
1958,Puella Magi Akira Magica,2013-10-07,K+,English
1959,First Time,2013-10-11,M,English
1960,The End of All Things,2013-10-25,K+,English
1961,Killing The White Demon,2013-10-24,T,English
1962,Faces,2013-10-24,K+,English
1963,Emotional Rollercoaster,2013-10-24,T,English
1964,The different story,2013-04-24,T,Spanish
1965,Coping (Not Really),2013-10-22,T,English
1966,Doughnut,2013-10-22,K,English
1967,Querida Kaname-san,2013-10-21,K,Spanish
1968,"Aussi longtemps que je t'aimerai, tu ne seras plus jamais seule",2013-10-21,K+,French
1969,ANI-Mitaki After Dark,2013-10-09,M,English
1970,Puella Magi Kaen Magica,2013-06-29,T,English
1971,Melody of a Long-Lost Hero,2013-10-14,K,English
1972,Start & End,2013-10-13,K+,Spanish
1973,Nocte of Desperatio,2013-10-13,K+,English
1974,Sushi,2013-10-12,K+,English
1975,Angel of Darkness,2013-10-12,K+,Spanish
1976,That's the Great Dame Madoka to You!,2013-09-23,T,English
1977,Rain,2013-10-07,T,English
1978,Tu n'es pas seule!,2013-10-06,K,French
1979,ANI-Mitakihara-CON,2013-09-14,T,English
1980,The Scarlet Hair warrior,2013-10-03,K,Spanish
1981,Happy Birthdayyyyy,2013-10-03,T,English
1982,Together,2013-10-03,K+,English
1983,Class presentation,2013-10-02,K,English
1984,Madoka in Mexico,2013-06-16,T,English
1985,Grant a Wish,2013-10-01,K+,English
1986,Walpurgis Haifisch,2013-10-01,T,English
1987,Dear Madoka,2013-09-30,T,English
1988,I'll See You Again,2013-08-24,T,English
1989,Priorities,2013-09-23,T,English
1990,Puella Magi Americana Magica,2013-03-21,T,English
1991,Odes From Lost Ones,2013-07-08,T,English
1992,Dropplets of despair,2013-09-18,T,English
1993,Kokoro: Ryubey's Story,2013-07-30,T,English
1994,Matchmaking 2,2013-09-13,T,English
1995,Matchmaking,2013-09-13,T,English
1996,Mahou Shoujo Madoka Magica: Kyubee's Lament,2011-05-01,M,English
1997,"Thunder, Lightning",2013-09-08,K+,English
1998,The Angel of Death,2013-09-08,M,English
1999,Fools,2013-09-07,K+,English
2000,Sayakoholic's Anonymous,2013-07-29,M,English
2001,Fatuus in Armis Caerula,2013-09-06,T,English
2002,Only me,2013-09-05,T,English
2003,Fuego con azul - Agua con rojo,2013-09-05,T,Spanish
2004,Enfant maudit,2013-09-04,T,French
2005,Louco,2013-09-03,T,Portuguese
2006,Last Seen Tethered,2013-06-21,T,English
2007,The New Fate,2013-03-04,T,English
2008,Musica Magica,2013-09-02,K,English
2009,I heard Kyousuke kicked the bucket,2013-07-13,T,English
2010,By my side,2013-08-27,T,English
2011,Puella Magi Tiffany Madoka,2013-08-27,T,English
2012,I Miss You,2013-08-25,T,English
2013,Together,2013-08-25,M,English
2014,Puella Mercenary Madoka Mayhem,2013-08-25,T,English
2015,Tagged,2013-08-22,T,English
2016,Shortcake,2013-08-22,T,English
2017,Kyouko's Shopping Day,2013-08-22,K,English
2018,Puella Magi Temashi Magica,2013-04-21,T,English
2019,Domino,2013-08-18,T,English
2020,Over the Cuckoo's Nest,2013-08-18,K+,English
2021,Anagram,2013-08-17,T,English
2022,Before Before,2013-08-17,K+,English
2023,Count Two,2013-08-15,T,English
2024,Sayaka miki's fourth wall monologue,2013-08-15,T,English
2025,Sleeping Beauty,2013-08-12,T,English
2026,Just One More Time,2013-07-03,M,English
2027,Dream of Everything - Puella Magi Madoka Magica,2013-08-09,K+,English
2028,Alternate,2013-08-07,T,English
2029,MSN,2013-08-06,T,English
2030,Of Puella and Puer,2013-08-04,T,English
2031,Once Upon The End,2013-01-16,T,English
2032,The servants of Tomoe Mansion,2012-02-12,M,English
2033,Caring too much is a no,2013-07-31,K+,English
2034,Maybe,2013-07-30,T,English
2035,Homura and Mami,2013-07-28,K,English
2036,At your service,2013-07-27,T,English
2037,Count One,2013-07-27,T,English
2038,Death Seeker,2013-07-27,T,English
2039,Watching You,2013-07-26,K,English
2040,Parallel Worlds: Salvation,2013-07-25,T,English
2041,Sakura and Madoka Magica,2013-07-25,T,English
2042,Morning,2013-07-23,M,English
2043,Una nueva oportunidad,2013-07-23,K+,Spanish
2044,Retry,2013-07-22,K+,English
2045,Libera Me from Hell,2013-06-16,T,English
2046,Judgement,2013-05-22,T,English
2047,All I Wanted Was To Save People Like Her,2013-07-17,T,English
2048,Welcome to the Quiet Room,2013-03-28,T,English
2049,Facebook,2013-07-15,T,English
2050,Even Great Loss Brings Some Gain,2013-07-15,K+,English
2051,Forget-me-not,2013-06-24,T,English
2052,Saving Life,2013-02-08,T,English
2053,Conversion,2013-07-07,T,English
2054,30 Days of KyoSaya,2013-07-12,K+,English
2055,The greatest practical joke,2013-05-16,T,English
2056,Comencemos De Nuevo,2013-07-13,K+,Spanish
2057,Brothers,2013-07-12,K+,English
2058,There Is No Hope,2013-07-10,T,English
2059,That happy dream,2013-07-07,T,English
2060,Skinship,2013-07-06,M,English
2061,phantom,2013-07-05,K,English
2062,Living While Dying,2013-07-03,T,English
2063,Together Again,2013-06-30,T,English
2064,to be,2013-07-01,T,English
2065,Quiero decirte una cosa,2013-07-01,K+,Spanish
2066,In Her Head,2013-06-30,T,English
2067,Point of View,2013-06-22,K+,English
2068,Pretend,2013-06-27,T,English
2069,Dancing,2013-06-28,K,English
2070,the heaven you and i know,2013-06-27,K,English
2071,Memento quod morieris puella magicales,2013-06-26,M,Spanish
2072,Saving Sayaka,2012-08-26,M,English
2073,Puella Poems,2013-06-25,K,English
2074,Latidos de un corazón sin sangre,2013-06-24,K,Spanish
2075,Of Mermaids and Unicorns,2013-06-22,K+,English
2076,A Game,2013-06-14,T,English
2077,The Ruby Kingdom : The Exam!,2013-06-22,K+,English
2078,Afternoon confession,2013-05-07,T,English
2079,My Dear Friend,2013-06-21,K+,English
2080,Bear,2013-06-20,K+,English
2081,Those Who Take the Sword,2013-06-19,T,English
2082,Thank You,2013-06-18,T,English
2083,Interstice of Time,2011-09-20,T,Indonesian
2084,Can this be called a Happy Ending?,2013-06-16,K,English
2085,Everything will be fine( A puella Magi Madoka Magica Fanfiction),2013-06-14,T,English
2086,My Father-Daughter Relationship,2013-06-14,K+,English
2087,Falling into Darkness,2013-06-13,K+,English
2088,Feel Alive,2013-06-11,K,English
2089,Tea,2013-06-07,K,English
2090,When You Let Me Go,2013-06-06,K+,English
2091,Once More,2013-06-06,T,English
2092,Ways of War,2013-06-03,M,English
2093,We're The Best Friends,2013-05-29,T,English
2094,Kyoko eats EVERYTHING,2013-06-02,K+,English
2095,in another life,2013-06-01,T,English
2096,Vertical Asymptote,2013-06-01,T,English
2097,The Singing City,2013-06-01,K+,English
2098,Puella Magi Maisie Magica,2013-01-05,T,English
2099,Theme,2013-05-13,T,English
2100,Reminiscing,2013-05-29,T,English
2101,memento mori,2013-05-27,T,Indonesian
2102,something forgetful,2013-05-25,M,English
2103,Dark Magica Chapters 1 - 4,2013-05-04,T,English
2104,Scarlet,2013-05-23,K,English
2105,Paradox,2013-05-21,M,English
2106,Guardian Angel,2013-05-19,T,English
2107,Decepción y Esperanza,2013-05-18,K,Spanish
2108,Promises,2013-05-17,T,English
2109,Witches' Birth,2013-05-12,K+,English
2110,Shattered Hope,2013-05-12,K+,English
2111,Apple Blossom,2013-05-09,T,English
2112,Protector Servorum MINI : School Play,2013-04-21,K,English
2113,Happiness,2013-05-06,K+,English
2114,A Daughter's Journey,2013-05-03,M,English
2115,And We're Home,2013-05-01,K+,English
2116,Beep Boop Homura,2013-04-30,K,English
2117,Promises & Revelations,2013-03-16,K+,English
2118,Worth Fighting For,2013-04-26,T,English
2119,Forever,2013-04-25,K+,English
2120,Protector Servorum MINI : Monster Hunter,2013-04-23,K,English
2121,Our Warship,2013-01-29,T,English
2122,The Little Princess,2013-04-21,M,English
2123,One last Message,2013-04-21,T,English
2124,Aegis,2013-04-20,T,English
2125,Protector Servorum MINI : Hideki's Unknown Despair,2013-04-19,K,English
2126,(Currently Untitled),2013-04-19,K+,English
2127,La chica de rosa,2013-04-17,T,Spanish
2128,The Value of Miracles,2013-03-07,T,English
2129,Sayaka's Miracle,2013-04-15,K+,English
2130,"Juntas, para siempre",2013-04-11,K+,Spanish
2131,Puella Magi: A Cyclical Magica,2011-12-29,K+,English
2132,Never Enough,2013-04-11,K,English
2133,Stuck in Reverse,2013-04-10,T,English
2134,Soothing Your Heart,2013-04-08,M,English
2135,WHAT TEH HELL,2013-04-05,T,English
2136,COMPREHEND,2013-04-05,T,English
2137,Puella Magi Emi Magica,2013-04-04,K+,English
2138,Taste the Rainbow,2013-04-03,M,English
2139,Operation DEAD,2013-04-03,T,English
2140,EXCUSE ME,2013-04-02,T,English
2141,Who,2013-04-02,T,English
2142,Puella Magi Kiseki Magica,2012-09-14,T,English
2143,Closer,2012-11-09,T,English
2144,Like a Spoiling Apple,2013-03-30,K+,English
2145,gaudium in veritate,2013-03-30,T,English
2146,Hitomi Shizuki,2013-03-30,K+,English
2147,Hallelujah,2013-03-29,T,English
2148,Growing Pains,2013-03-12,T,English
2149,Promises,2013-03-29,K,English
2150,The Road Home,2013-03-28,T,English
2151,La Chica de Cabello Zafiro,2012-12-10,T,Spanish
2152,Witch Shipping Anthology,2013-03-04,T,English
2153,Forgive me Father for I Have Sinned,2013-03-23,T,English
2154,The world begins with you,2013-03-23,T,English
2155,Nightfall,2013-03-20,M,English
2156,At the Beach,2013-03-19,K,English
2157,A wonderful life:,2013-03-18,T,English
2158,Puella Magi Hel Magica,2013-03-17,K+,English
2159,Tell Me A Story?,2013-03-17,T,English
2160,"Good Bye, Friend",2013-03-15,T,English
2161,A Magical Girl Reunion,2012-10-10,T,English
2162,Unintelligent Design,2013-03-15,K,English
2163,Cosmic,2013-03-15,K,English
2164,Por siempre,2013-03-15,M,Spanish
2165,Forget Me Not,2013-03-14,K,English
2166,The Veteran,2013-01-04,T,English
2167,No me Abandones,2013-03-13,K+,Spanish
2168,The Story About Us,2013-02-17,K,Spanish
2169,Sadness and sorrows,2013-03-11,T,English
2170,Into a Kaleidoscope,2012-02-25,T,English
2171,Querer,2013-03-11,K+,Spanish
2172,Distress and Coma,2013-03-11,T,Spanish
2173,Feelings,2012-12-27,T,English
2174,PISS OFF,2013-03-06,T,English
2175,Sigo recordándote,2012-08-08,K,Spanish
2176,Safe&Sound,2013-03-04,K+,English
2177,Hibakusha's Wish,2013-03-02,K+,English
2178,Terror Adhaerens,2013-03-01,T,French
2179,Dämmerung,2013-03-01,T,English
2180,Magical girl reunion,2013-02-27,T,English
2181,Where the Winds Blow,2013-02-12,T,English
2182,Unavoidable,2013-02-27,T,English
2183,Contract?,2013-02-26,K,English
2184,The Lakeside,2013-02-25,T,English
2185,¡Feliz Cumpleaños Homura-chan!,2013-02-23,K,Spanish
2186,Regalo de San Valentín,2013-02-19,K+,Spanish
2187,Quel voeu as-tu fait?,2013-02-18,T,French
2188,That moment,2013-02-17,T,English
2189,¡A Homura-chan no le gusta el chocolate!,2013-02-16,K+,Spanish
2190,I Will Protect Her,2013-02-16,T,English
2191,Nobody Told Us It Would Be This Complicated,2013-02-16,K+,English
2192,a break in time,2013-02-14,T,English
2193,And I'm Home,2013-02-14,T,English
2194,I READ MYSELF,2013-02-13,T,English
2195,Going Through The Motions,2013-02-12,M,English
2196,With Good Intentions,2013-02-11,K+,English
2197,Just Trust Me,2013-02-11,M,English
2198,Why?,2013-02-09,K+,English
2199,La Nueva Chica Magica,2013-02-06,T,Spanish
2200,Requiem,2013-02-08,T,German
2201,Racing the Daylight,2013-02-07,K+,English
2202,Memory,2013-02-07,T,English
2203,Through Space and Time,2013-02-06,K,English
2204,Watching,2013-02-06,K,English
2205,Alone Together,2013-02-06,T,English
2206,Knotted,2013-02-06,T,English
2207,Dissent,2013-02-05,T,English
2208,Character Sketches,2012-12-27,T,English
2209,Bow,2013-02-04,K,English
2210,Through The Witch's Eyes,2012-03-29,K+,English
2211,Puella Magi Tsubasa Magica,2012-10-18,T,English
2212,the lonely facade of perfection,2013-02-02,M,English
2213,The Happiest Ending,2013-02-02,T,English
2214,Love Letters,2013-01-31,K,English
2215,History Undone,2013-01-30,K+,English
2216,Running Into a Memory,2012-02-06,T,English
2217,Puella magi Kakudo magica,2013-01-28,T,English
2218,You are (not) zombie!,2013-01-25,K+,Spanish
2219,With A Slight Note of Imperfection,2013-01-21,K+,English
2220,Caer a la sangre,2013-01-20,T,Spanish
2221,El baile de Noche de brujas,2013-01-20,T,Spanish
2222,Waiting,2012-10-27,M,English
2223,Trollin' in the Deep,2013-01-15,T,English
2224,Lonely Night,2013-01-17,T,English
2225,Dulci Innocentia,2013-01-17,K+,English
2226,Getting Caught's Easier Than Confessing,2013-01-15,T,English
2227,Puella Magi: Linebreaker,2013-01-15,M,English
2228,Spiralling,2013-01-02,T,English
2229,Her Life Before Becoming a Witch,2013-01-14,K+,Portuguese
2230,Madoka no zetsubou,2012-07-14,T,English
2231,What will you do?,2013-01-09,T,English
2232,No pretendo que lo entiendas,2012-12-09,T,Spanish
2233,The Amazing Adventure of Magical Molly!,2013-01-05,K+,English
2234,Miracles and Magic,2013-01-04,K+,English
2235,Heartbeat,2013-01-03,K+,English
2236,Mami's Suicide Letter,2013-01-03,K,English
2237,Outside the Box Failures,2013-01-02,K+,English
2238,Puella Magi Poorfag Magica,2013-01-02,K+,English
2239,Black Magic,2013-01-02,T,English
2240,Coming,2012-12-31,T,English
2241,Die a Hero,2012-12-30,K+,English
2242,The Dream She Saw,2012-12-30,K+,English
2243,Petals and Pens,2012-12-28,M,English
2244,Gift of the Puella Magi,2012-12-25,T,English
2245,Hommando,2012-12-25,T,English
2246,Suitors,2012-12-25,T,English
2247,Regulations,2012-12-25,T,English
2248,Drink With Me Sometime,2012-12-25,K+,English
2249,Beware of Wishes,2012-12-25,T,English
2250,O universo por você,2012-12-25,K+,Portuguese
2251,Quest For Pudding,2012-12-02,K+,English
2252,Cognitive Disco Dance,2012-09-20,T,English
2253,Never Alone,2012-12-16,K+,English
2254,Sexual Favours,2012-12-16,M,English
2255,Memories,2012-12-15,K,Portuguese
2256,Love Me Do,2012-12-13,T,English
2257,Lights Changing Color,2012-12-10,T,English
2258,Cry Just A Little,2012-12-07,T,English
2259,"Poor In Pocket, Rich In Love",2012-02-29,T,English
2260,The Mind of a Stranger,2012-12-07,T,English
2261,Logic,2012-12-06,K+,English
2262,Cartesian Contract,2012-12-05,K+,English
2263,I sold my happiness,2012-12-04,K,English
2264,when time is over,2012-12-04,K+,Spanish
2265,Dealing with it,2012-11-29,T,English
2266,Lost In The Woods,2012-11-26,T,English
2267,Looking Up From Underneath,2012-11-26,T,English
2268,A Long Way Down,2012-11-24,T,English
2269,Can't Let Go,2012-08-14,M,English
2270,Stargazing,2012-11-22,T,English
2271,I'm Not Alone,2012-11-20,T,English
2272,Offers you Just Have to Refuse,2012-11-19,M,English
2273,Puella Misfit Etsuko Magica,2012-11-19,T,English
2274,Beside You,2012-11-18,T,English
2275,Walpurgisnacht,2012-11-18,T,English
2276,Horuma's last chance,2012-10-27,T,English
2277,Valkyrie,2012-10-26,T,English
2278,Reencuentro,2012-11-15,T,Spanish
2279,Puella Magi Mami Magica,2012-11-11,T,English
2280,Prologue: If Only I'd Known,2012-11-14,K+,English
2281,A Gift,2012-11-09,K,English
2282,Semblance of Liberty,2012-11-11,K+,English
2283,The Phantom of the Auditorium,2012-11-11,K+,English
2284,Reckoning,2012-11-10,K+,English
2285,Continue To Be,2012-11-09,K+,English
2286,And I'm Home,2011-10-28,T,English
2287,less than zero,2012-11-08,M,Spanish
2288,It is over,2012-11-08,T,English
2289,Eternal Symphony of Love,2012-11-07,K+,English
2290,Changes,2012-11-07,K,English
2291,Sweet and Sour,2012-11-05,T,English
2292,Edifying Edibles,2012-11-02,K,English
2293,Puppets,2012-09-11,M,English
2294,In the World of Witches,2012-10-30,T,English
2295,Colors,2012-04-12,T,English
2296,the wrong side of eternity,2012-10-27,K,English
2297,What if?,2012-10-26,T,English
2298,From The Moment,2012-10-26,K+,English
2299,You Take My Self Control,2012-10-25,M,English
2300,Save Her,2012-10-25,T,English
